ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
['NC_052710']	Hypostomus ancistroides	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Siluriformes', 'Loricariidae', 'Hypostominae', 'Hypostomus']	        tRNA [15570:15640](-) ['tRNA-Pro']	D-loop [15640:16826](+) None	source [0:16826](+) None	
['NC_052836']	Gekko subpalmatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Gekkota', 'Gekkonidae', 'Gekkoninae', 'Gekko']	        tRNA [15295:15365](-) ['tRNA-Pro']	D-loop [15365:17105](+) None	source [0:17105](+) None	
['NC_052743']	Stichopus monotuberculatus	['Eukaryota', 'Metazoa', 'Echinodermata', 'Eleutherozoa', 'Echinozoa', 'Holothuroidea', 'Aspidochirotacea', 'Aspidochirotida', 'Stichopodidae', 'Stichopus']	        rRNA [14586:16058](+) ['16S ribosomal RNA']	D-loop [16035:16222](+) None	source [0:16274](+) None	
['NC_052720']	Bathytoshia brevicaudata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Batoidea', 'Myliobatiformes', 'Dasyatidae', 'Bathytoshia']	        tRNA [15675:15744](-) ['tRNA-Pro']	D-loop [15744:17640](+) None	source [0:17640](+) None	
['NC_052699']	Culter alburnus x Megalobrama terminalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Xenocyprididae', 'Xenocypridinae']	        tRNA [15616:15686](-) ['tRNA-Pro']	D-loop [15686:16622](+) None	source [0:16622](+) None	
['NC_052705']	Doleschallia melana	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Nymphalinae', 'Doleschallia']	        rRNA [14065:14840](-) ['12S ribosomal RNA']	misc_feature [14840:15269](+) None	source [0:15269](+) None	
['NC_052838']	Epinephelus akaara x Epinephelus tukula	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Epinephelus']	        tRNA [15632:15702](-) ['tRNA-Pro']	D-loop [15702:16928](+) None	source [0:16928](+) None	
['NC_052837']	Epinephelus awoara x Epinephelus tukula	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Epinephelus']	        tRNA [15630:15700](-) ['tRNA-Pro']	D-loop [15700:16801](+) None	source [0:16801](+) None	
['NC_054288']	Coregonus hoyi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Coregoninae', 'Coregonus']	        gene [15660:16820](+) None	D-loop [15660:16820](+) None	source [0:16820](+) None	
['NC_054291']	Esox masquinongy	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        gene [15623:16729](+) None	D-loop [15623:16729](+) None	source [0:16729](+) None	
