ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
NC_052749	Panulirus longipes	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Eucarida', 'Decapoda', 'Pleocyemata', 'Achelata', 'Palinuroidea', 'Palinuridae', 'Panulirus']	        rRNA [12674:13525](+) ['12S ribosomal RNA']	D-loop [13525:14329](+) None	gene [14329:14395](+) None
NC_052688	Soriculus nigrescens	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Eulipotyphla', 'Soricidae', 'Soricinae', 'Soriculus']	        tRNA [15393:15460](-) ['tRNA-Pro']	D-loop [15460:17284](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_052715	Anapodisma miramae	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Catantopinae', 'Anapodisma']	        rRNA [14033:14830](-) ['12S ribosomal RNA']	D-loop [14830:15189](+) None	tRNA [0:65](+) ['tRNA-Ile']
NC_052710	Hypostomus ancistroides	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Siluriformes', 'Loricariidae', 'Hypostominae', 'Hypostomus']	        tRNA [15570:15640](-) ['tRNA-Pro']	D-loop [15640:16826](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_052687	Nymphalis c-aureum	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Nymphalinae', 'Nymphalis', 'Polygonia']	        rRNA [14082:14857](-) ['12S ribosomal RNA']	D-loop [14857:15208](+) None	repeat_region [0:15208](+) None
NC_052711	Diopsittaca nobilis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Psittaciformes', 'Psittacidae', 'Diopsittaca']	        tRNA [15439:15509](-) ['tRNA-Glu']	D-loop [15509:16992](+) None	tRNA [0:66](+) ['tRNA-Phe']
NC_052907	Ferdinandea cuprea	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Diptera', 'Brachycera', 'Muscomorpha', 'Syrphoidea', 'Syrphidae', 'Eristalinae', 'Rhingiini', 'Ferdinandea']	        rRNA [14146:14967](-) ['12S ribosomal RNA']	D-loop [14967:15907](+) None	tRNA [0:67](+) ['tRNA-Ile']
NC_052734	Oedaleus manjius	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Oedipodinae', 'Oedaleus']	        rRNA [14027:14828](-) ['12S ribosomal RNA']	D-loop [14828:15590](+) None	tRNA [0:65](+) ['tRNA-Ile']
NC_052726	Chionoecetes japonicus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Eucarida', 'Decapoda', 'Pleocyemata', 'Brachyura', 'Eubrachyura', 'Majoidea', 'Majidae', 'Chionoecetes']	        rRNA [12617:13432](-) ['12S ribosomal RNA']	D-loop [13432:14646](+) None	gene [14646:14716](+) None
NC_052732	Epacromius coerulipes	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Oedipodinae', 'Epacromius']	        rRNA [14029:14867](-) ['12S ribosomal RNA']	D-loop [14867:15592](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052694	Perkinsiella saccharicida	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Perkinsiella']	        rRNA [13802:14558](-) ['12S ribosomal RNA']	D-loop [14558:16429](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052873	Ochotona coreana	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Lagomorpha', 'Ochotonidae', 'Ochotona']	        tRNA [15360:15427](+) ['tRNA-Pro']	D-loop [15427:17283](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_052722	Chromis notata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Pomacentridae', 'Chromis']	        tRNA [15652:15722](-) ['tRNA-Pro']	D-loop [15722:16600](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_052836	Gekko subpalmatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Gekkota', 'Gekkonidae', 'Gekkoninae', 'Gekko']	        tRNA [15295:15365](-) ['tRNA-Pro']	D-loop [15365:17105](+) None	tRNA [0:74](+) ['tRNA-Phe']
NC_052743	Stichopus monotuberculatus	['Eukaryota', 'Metazoa', 'Echinodermata', 'Eleutherozoa', 'Echinozoa', 'Holothuroidea', 'Aspidochirotacea', 'Aspidochirotida', 'Stichopodidae', 'Stichopus']	        rRNA [14586:16058](+) ['16S ribosomal RNA']	D-loop [16035:16222](+) None	CDS [0:1554](+) ['cytochrome c oxidase subunit I']
NC_052693	Ishiharodelphax matsuyamensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Ishiharodelphax']	        rRNA [13633:14381](-) ['12S ribosomal RNA']	D-loop [14381:16058](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052716	Sinopodisma rostellocerca	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Melanoplinae', 'Podismini', 'Sinopodisma']	        rRNA [14033:14829](-) ['12S ribosomal RNA']	D-loop [14829:15622](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052692	Epeurysa nawaii	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Epeurysa']	        rRNA [13653:14408](-) ['12S ribosomal RNA']	D-loop [14408:15536](+) None	tRNA [0:69](+) ['tRNA-Ile']
NC_052742	Ophiura kinbergi	['Eukaryota', 'Metazoa', 'Echinodermata', 'Eleutherozoa', 'Asterozoa', 'Ophiuroidea', 'Myophiuroidea', 'Metophiurida', 'Ophintegrida', 'Amphilepidida', 'Ophiurina', 'Chilophiurina', 'Ophiuridae', 'Ophiurinae', 'Ophiura']	        misc_feature [8192:8669](-) None	D-loop [8669:9622](+) None	gene [9622:9689](-) None
NC_052690	Bambusiphaga taibaishana	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Bambusiphaga']	        rRNA [13543:14276](-) ['12S ribosomal RNA']	D-loop [14276:15721](+) None	tRNA [0:64](+) ['tRNA-Ile']
NC_052695	Tropidocephala brunnipennis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Tropidocephala']	        rRNA [14003:14750](-) ['12S ribosomal RNA']	D-loop [14750:16231](+) None	tRNA [0:65](+) ['tRNA-Ile']
NC_052689	Bambusiphaga furca	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Bambusiphaga']	        rRNA [13648:14400](-) ['12S ribosomal RNA']	D-loop [14400:15608](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052691	Chloriona tateyamana	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Fulgoroidea', 'Delphacidae', 'Delphacinae', 'Chloriona']	        rRNA [13772:14530](-) ['12S ribosomal RNA']	D-loop [14530:16729](+) None	tRNA [0:67](+) ['tRNA-Ile']
NC_052881	Octopus sinensis	['Eukaryota', 'Metazoa', 'Spiralia', 'Lophotrochozoa', 'Mollusca', 'Cephalopoda', 'Coleoidea', 'Octopodiformes', 'Octopoda', 'Incirrata', 'Octopodidae', 'Octopus']	        tRNA [14949:15024](-) ['tRNA-Glu']	D-loop [15024:15737](-) None	CDS [0:780](+) ['cytochrome c oxidase subunit III']
NC_052720	Bathytoshia brevicaudata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Batoidea', 'Myliobatiformes', 'Dasyatidae', 'Bathytoshia']	        tRNA [15675:15744](-) ['tRNA-Pro']	D-loop [15744:17640](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_052699	Culter alburnus x Megalobrama terminalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Xenocyprididae', 'Xenocypridinae']	        tRNA [15616:15686](-) ['tRNA-Pro']	D-loop [15686:16622](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_052717	Stenocatantops mistshenkoi	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Catantopinae', 'Stenocatantops']	        rRNA [14053:14849](-) ['12S ribosomal RNA']	D-loop [14849:15573](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052705	Doleschallia melana	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Nymphalinae', 'Doleschallia']	        rRNA [14065:14840](-) ['12S ribosomal RNA']	misc_feature [14840:15269](+) None	tRNA [0:68](+) ['tRNA-Met']
NC_052725	Chionoecetes japonicus x Chionoecetes opilio	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Eucarida', 'Decapoda', 'Pleocyemata', 'Brachyura', 'Eubrachyura', 'Majoidea', 'Majidae', 'Chionoecetes']	        rRNA [12617:13432](-) ['12S ribosomal RNA']	D-loop [13432:14623](+) None	gene [14623:14693](+) None
NC_052731	Bryodema kozlovi	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Oedipodinae', 'Bryodema']	        rRNA [14032:14865](-) ['12S ribosomal RNA']	D-loop [14865:15930](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_052733	Filchnerella rubrimargina	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Pamphagoidea', 'Pamphagidae', 'Prionotropisinae', 'Filchnerella']	        rRNA [14062:14914](-) ['12S ribosomal RNA']	D-loop [14914:15661](+) None	tRNA [0:68](+) ['tRNA-Ile']
NC_052838	Epinephelus akaara x Epinephelus tukula	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Epinephelus']	        tRNA [15632:15702](-) ['tRNA-Pro']	D-loop [15702:16928](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_052837	Epinephelus awoara x Epinephelus tukula	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Epinephelus']	        tRNA [15630:15700](-) ['tRNA-Pro']	D-loop [15700:16801](+) None	tRNA [0:70](+) ['tRNA-Phe']
